Date,Open,High,Low,Volume,Close
2018-06-14,384.269989,395.029999,383.25,14598300,392.869995
2018-06-15,390.709991,398.859985,387.51001,13588100,391.980011
2018-06-18,387.720001,393.160004,386.5,6824800,390.399994
2018-06-19,389.5,405.290009,388.5,16697100,404.980011
2018-06-20,415.149994,419.470001,409.600006,16494600,416.76001
2018-06-21,421.380005,423.209991,406.369995,18389900,415.440002
2018-06-22,419.980011,420.5,409.649994,10428600,411.089996
2018-06-25,404.690002,405.98999,378.75,22490900,384.480011
2018-06-26,393.279999,404.779999,389.049988,15191200,399.390015
2018-06-27,407.559998,411.589996,390.0,16541400,390.390015
2018-06-28,395.0,396.899994,387.100006,12219900,395.420013
2018-06-29,399.190002,401.329987,390.549988,9252500,391.429993
2018-07-02,385.450012,398.380005,380.0,8142500,398.179993
2018-07-03,399.48999,399.980011,389.5,5280300,390.519989
2018-07-05,393.799988,399.23999,390.859985,8448900,398.390015
2018-07-06,397.450012,408.649994,395.519989,8629600,408.25
2018-07-09,415.950012,419.119995,411.100006,11127500,418.970001
2018-07-10,417.23999,419.440002,413.079987,9382900,415.630005
2018-07-11,411.339996,419.769989,410.600006,9713900,418.649994
2018-07-12,415.160004,416.790009,407.799988,12743300,413.5
2018-07-13,409.190002,410.0,395.079987,15719000,395.799988
2018-07-16,398.980011,403.359985,391.75,22960000,400.480011
2018-07-17,346.950012,385.0,344.0,58410400,379.480011
2018-07-18,381.23999,383.130005,372.359985,21746300,375.130005
2018-07-19,371.059998,375.75,363.0,16878700,364.230011
2018-07-20,364.920013,370.5,360.140015,15096700,361.049988
2018-07-23,359.149994,363.899994,353.600006,11505200,362.660004
2018-07-24,366.940002,367.399994,354.559998,12851500,357.320007
2018-07-25,357.570007,363.279999,355.649994,8467800,362.869995
2018-07-26,358.190002,365.540009,356.630005,6993700,363.089996
2018-07-27,366.850006,367.0,351.649994,8949500,355.209991
2018-07-30,351.929993,352.029999,334.019989,18260700,334.959991
2018-07-31,331.51001,342.5,328.0,14085400,337.450012
2018-08-01,335.869995,344.410004,334.019989,7790500,338.380005
2018-08-02,337.230011,345.0,334.709991,7131300,344.5
